Lake Central High School,795,837,819,768,3219,8400 Wicker Ave,St John,In,46373,1,1,4,null,null,null,null,null,null
Munster High School,383,380,387,360,1510,8616 Columbia Ave,Munster,IN,46321-2597,1,1,4,null,null,null,9,2,null
Hammond Morton Senior High School,341,357,337,313,1348,6915 Grand Ave,Hammond,IN,46323,1,1,4,null,null,null,null,null,null
East Chicago Central High School,324,334,288,290,1236,1402 E Chicago Ave,East Chicago,IN,46312-0000,1,1,4,null,null,null,null,null,null
Highland High School,284,295,277,266,1117,9145 Kennedy Ave,Highland,IN,46322-2796,1,1,4,null,null,null,null,null,null
Gary West Side Leadership Acad.,288,274,225,259,1046,W 9th Ave & Gerry St,Gary,IN,46406,1,1,4,null,null,null,null,null,null
Hammond Gavit Mdl/High School,240,251,233,180,904,1670 175th St,Hammond,IN,46324,1,1,4,TRUE,null,null,null,null,null
Hammond High School,205,229,185,191,810,5926 Calumet Ave,Hammond,IN,46320,1,1,4,null,null,null,null,null,null
Griffith Senior High School,194,224,199,183,800,600 N Wiggs St,Griffith,IN,46319,1,1,4,null,null,null,null,null,null
Hammond Clark Md/HS,195,213,178,174,760,1921 Davis Ave,Whiting,IN,46394,1,1,4,null,null,null,null,null,null
Calumet High School,164,173,179,150,666,3900 Calhoun St,Gary,IN,46408,1,1,4,null,null,null,10,2,null
Hammond Bishop Noll Institute,129,159,115,125,528,1519 Hoffman St,Hammond,iN,46372,1,1,4,null,null,null,null,4,null
Whiting High School,122,121,95,96,434,1751 Oliver St,Whiting,IN,46394,1,1,4,null,null,null,null,null,null
Hammond Acad. Of Sci. & Tech,86,77,59,65,287,33 Muenich Ct,Hammond,IN,46320,1,1,4,null,null,null,null,null,null
Crown Point High School,684,730,678,671,2763,200 E North St,Crown Point,IN,46307-4078,2,1,4,TRUE,TRUE,null,null,null,null
Merrillville High School,570,578,544,522,2214,6701 Delaware St,Merrillville,IN,46410-3586,2,1,4,null,null,null,null,null,null
Hobart High School,330,295,332,308,1265,32 E 7th St,Hobart,IN,46342-5154,2,1,4,null,null,null,null,null,null
Lowell Senior High School,273,321,309,294,1197,2051 E Commercial Ave,Lowell,IN,46356,2,1,4,null,null,null,null,null,null
Hanover Central High School,166,180,175,159,680,10120 W 133rd Ave.,Cedar Lake,IN,46303,2,1,4,null,null,null,null,null,null
Gary Lighthouse Charter School,135,143,166,116,560,1775 W 41st Ave,Gary,IN,46408,2,1,4,null,null,null,null,null,null
Andrean High School,85,163,1224,147,492,5959 Broadway,Merrillville,IN,46410,2,1,4,null,null,null,null,null,null
Gary Roosevelt Car & Tech Acad,85,153,117,103,458,730 W 25th Ave,Gary,IN,46407,2,1,4,null,null,null,null,null,null
Bowman Leadership Academy,118,117,113,99,447,975 W 6th Ave,Gary,IN,46402,2,1,4,null,null,null,null,null,null
River Forest Jr-Sr High School,101,122,111,105,439,3300 Indiana St,Hobart,In,46342,2,1,4,null,null,null,null,null,null
Hebron High School,91,108,83,88,370,509 S Main St,Hebron,IN,46341,2,1,4,null,null,null,null,null,null
21st Century Chartr Sch of Gary,75,74,71,46,266,556 Washington St,Gary,IN,46402,2,1,4,null,null,null,6,null,null
Portage High School,658,591,576,595,2520,6240 US Hwy 6,Portage,IN,46368-5057,3,2,4,null,null,null,null,null,null
Valparaiso high School,561,556,499,466,2082,3801 N Campbell St,Valparaiso,IN,46385-0000,3,2,4,null,null,null,2,null,null
Chesterton Senior High School,536,531,516,493,2076,2125 S 11th St,Chesterton,IN,46304,3,2,4,TRUE,null,null,null,null,null
LaPorte High School,487,485,504,470,1946,1921 'A' St,LaPorte,IN,46350-6697,3,2,4,null,null,null,null,null,null
Michigan City High School,470,457,411,415,1753,408 S Carroll Ave,Michigan City,IN,46360-5345,3,2,4,null,null,null,null,null,null
New Prairie High School,258,254,229,252,993,5327 N Cougar Rd,New Carlisle,IN,46552-9505,3,2,4,TRUE,TRUE,TRUE,null,null,null
